Date,Open,High,Low,Close,Volume
07/22/2022,"21.05","21.11","19.21","19.41","3,527,951"
07/21/2022,"20.47","21.03","20.18","21.00","3,613,466"
07/20/2022,"19.00","20.75","19.00","20.69","4,982,116"
07/19/2022,"18.89","18.99","17.91","18.87","3,611,180"
07/18/2022,"19.19","19.76","18.53","18.58","3,862,880"
07/15/2022,"18.59","19.07","18.05","18.78","3,097,725"
07/14/2022,"18.69","18.90","18.15","18.30","3,054,824"
07/13/2022,"18.75","19.67","18.58","19.00","3,316,587"
07/12/2022,"20.21","20.78","19.21","19.35","4,774,559"
07/11/2022,"20.95","21.00","19.73","20.03","3,950,904"
07/08/2022,"20.72","21.64","20.38","21.06","3,784,077"
07/07/2022,"20.03","21.27","19.89","21.22","5,068,171"
07/06/2022,"20.43","20.87","19.57","19.89","5,788,463"
07/05/2022,"18.41","20.56","18.06","20.55","6,491,672"
07/01/2022,"18.14","19.10","18.14","18.71","5,143,633"
06/30/2022,"19.39","19.40","18.01","18.19","12,242,630"
06/29/2022,"19.92","20.27","19.36","19.75","7,508,061"
06/28/2022,"21.42","21.70","20.00","20.02","6,487,652"
06/27/2022,"22.03","22.30","21.03","21.36","7,821,348"
06/24/2022,"21.60","22.15","21.35","21.92","31,350,891"
06/23/2022,"19.85","21.20","19.70","21.02","7,232,794"
06/22/2022,"18.95","20.22","18.79","19.61","6,130,540"
06/21/2022,"18.86","20.06","18.70","19.26","6,441,779"
06/17/2022,"17.63","18.63","17.57","18.45","10,291,860"
06/16/2022,"18.27","18.46","17.37","17.49","5,726,028"
06/15/2022,"18.07","19.42","18.07","19.14","6,335,594"
06/14/2022,"17.51","17.81","16.84","17.75","4,622,768"
06/13/2022,"17.91","18.47","17.11","17.34","7,310,856"
06/10/2022,"19.75","20.15","18.70","18.85","6,048,638"
06/09/2022,"21.11","21.74","20.42","20.42","6,047,068"
06/08/2022,"20.35","21.57","20.29","21.36","7,517,416"
06/07/2022,"19.02","20.50","18.99","20.40","10,245,650"
06/06/2022,"19.15","19.64","18.66","19.39","6,320,593"
06/03/2022,"19.40","19.86","18.61","18.93","7,814,212"
06/02/2022,"18.49","20.28","18.05","19.64","18,724,430"
06/01/2022,"17.17","17.82","16.25","16.83","10,340,440"
05/31/2022,"17.36","18.02","16.86","17.07","9,027,337"
05/27/2022,"17.99","18.19","17.41","17.74","8,884,410"
05/26/2022,"17.03","18.36","16.81","17.98","5,736,841"
05/25/2022,"15.95","17.25","15.93","17.03","4,648,879"
05/24/2022,"16.91","17.09","15.72","15.95","5,258,779"
05/23/2022,"17.68","17.95","16.84","17.25","3,994,025"
05/20/2022,"17.40","17.83","16.47","17.41","5,640,854"
05/19/2022,"16.49","17.75","16.30","17.13","4,953,686"
05/18/2022,"16.69","17.41","16.21","16.54","4,161,602"
05/17/2022,"17.11","17.63","16.34","17.06","5,215,919"
05/16/2022,"17.32","17.68","16.56","16.64","5,523,225"
05/13/2022,"15.87","17.67","15.87","17.63","10,184,630"
05/12/2022,"14.00","15.75","13.66","15.28","13,970,850"
05/11/2022,"15.34","15.83","14.17","14.26","8,636,362"
05/10/2022,"16.40","16.87","14.69","15.67","10,423,940"
05/09/2022,"16.90","17.18","15.74","15.86","8,660,395"
05/06/2022,"17.49","17.72","16.10","17.13","6,960,156"
05/05/2022,"18.62","18.68","17.43","17.63","5,252,791"
05/04/2022,"18.25","19.19","17.18","19.12","8,040,329"
05/03/2022,"18.08","18.67","17.85","18.18","5,353,298"
05/02/2022,"18.00","18.73","17.67","18.57","6,131,715"
04/29/2022,"18.91","19.53","17.79","17.83","5,085,640"
04/28/2022,"18.54","19.15","17.61","18.89","7,054,183"
04/27/2022,"18.35","18.84","17.92","18.36","6,311,631"
04/26/2022,"19.26","19.45","18.04","18.19","7,843,404"
04/25/2022,"17.78","19.25","17.66","19.18","10,746,930"
04/22/2022,"18.10","18.87","17.66","17.95","8,165,434"
04/21/2022,"19.34","19.86","17.94","18.04","6,595,073"
04/20/2022,"19.82","19.98","18.89","19.09","6,018,076"
04/19/2022,"18.54","20.32","18.47","20.14","8,061,750"
04/18/2022,"18.90","19.01","18.12","18.70","5,922,860"
04/14/2022,"20.30","20.30","18.93","19.04","8,179,550"
04/13/2022,"19.88","20.55","19.49","20.21","7,339,598"
04/12/2022,"20.44","20.91","19.69","19.82","6,903,545"
04/11/2022,"19.60","20.49","18.90","20.23","11,139,600"
04/08/2022,"20.81","20.90","19.85","19.94","9,398,203"
04/07/2022,"21.13","21.68","20.46","21.08","8,603,465"
04/06/2022,"21.52","21.91","20.58","21.25","9,951,484"
04/05/2022,"22.85","23.09","21.96","22.06","11,296,560"
04/04/2022,"22.63","23.28","22.26","22.79","13,304,210"
04/01/2022,"21.52","23.21","21.12","22.18","18,798,949"
03/31/2022,"23.70","23.95","20.53","21.59","59,238,312"
03/30/2022,"30.75","30.92","28.96","29.04","13,413,390"
03/29/2022,"30.10","31.88","29.90","31.40","9,362,992"
03/28/2022,"28.88","29.76","28.08","29.43","6,114,825"
03/25/2022,"30.12","30.16","28.06","28.80","5,992,441"
03/24/2022,"30.28","30.73","28.90","29.98","5,989,623"
03/23/2022,"30.59","31.85","29.80","30.24","4,361,549"
03/22/2022,"29.89","31.64","29.41","31.01","4,010,646"
03/21/2022,"29.60","30.48","28.43","29.45","4,400,202"
03/18/2022,"28.19","30.03","28.10","29.89","7,140,440"
03/17/2022,"27.22","28.87","27.10","28.61","3,631,249"
03/16/2022,"25.65","27.94","25.50","27.82","5,142,445"
03/15/2022,"24.02","24.93","23.93","24.89","5,848,440"
03/14/2022,"25.92","26.45","24.33","24.56","3,986,885"
03/11/2022,"28.96","28.96","26.09","26.21","4,941,228"
03/10/2022,"28.38","28.70","27.27","28.45","3,123,645"
03/09/2022,"28.06","29.48","28.06","29.19","2,623,357"
03/08/2022,"26.81","29.37","26.18","27.62","5,225,832"
03/07/2022,"28.63","29.29","26.96","27.19","4,580,774"
03/04/2022,"31.47","31.85","28.13","28.30","5,414,841"
03/03/2022,"34.29","34.48","31.04","31.26","3,892,902"
03/02/2022,"34.19","34.48","32.63","33.93","2,657,718"
03/01/2022,"35.00","35.64","33.71","33.95","3,854,956"
02/28/2022,"32.54","34.74","32.23","34.71","4,353,032"
02/25/2022,"32.86","33.23","31.28","32.79","4,685,123"
02/24/2022,"29.36","32.74","28.80","32.40","7,362,276"
02/23/2022,"34.61","34.69","31.97","32.09","4,390,082"
02/22/2022,"37.14","37.58","33.93","34.37","5,346,975"
02/18/2022,"36.32","38.77","36.32","37.95","9,586,386"
02/17/2022,"37.56","37.94","36.05","36.57","3,393,016"
02/16/2022,"38.77","38.77","37.26","37.89","2,332,543"
02/15/2022,"37.55","39.00","37.36","38.88","3,700,154"
02/14/2022,"36.94","38.33","36.23","37.24","3,533,880"
02/11/2022,"37.16","38.53","36.55","37.36","6,691,061"
02/10/2022,"36.24","38.74","36.12","36.87","3,913,158"
02/09/2022,"37.00","37.98","36.56","37.52","6,705,437"
02/08/2022,"35.13","36.52","34.65","36.49","2,204,037"
02/07/2022,"35.10","37.18","35.03","35.46","2,223,471"
02/04/2022,"33.59","35.67","32.90","35.32","3,247,054"
02/03/2022,"33.87","34.55","33.24","33.36","3,330,721"
02/02/2022,"37.12","37.32","34.41","34.77","3,436,930"
02/01/2022,"37.29","37.65","35.46","37.14","2,846,825"
01/31/2022,"33.74","36.57","33.55","36.53","3,876,842"
01/28/2022,"32.93","34.10","31.47","33.43","5,356,099"
01/27/2022,"34.64","35.05","32.83","32.85","3,890,262"
01/26/2022,"36.46","37.31","33.89","34.10","4,149,691"
01/25/2022,"36.14","37.05","34.67","35.30","4,544,527"
01/24/2022,"33.00","36.68","32.17","36.49","7,744,910"
01/21/2022,"35.21","35.80","33.59","34.73","6,054,983"
01/20/2022,"36.55","38.38","35.20","35.32","4,280,769"
01/19/2022,"35.54","36.97","35.01","35.26","3,542,425"
01/18/2022,"36.04","37.08","35.21","35.51","3,425,803"
01/14/2022,"37.64","38.54","35.61","36.73","4,962,747"
01/13/2022,"40.13","40.19","37.33","37.61","3,667,138"
01/12/2022,"41.32","42.79","39.62","39.75","3,475,507"
01/11/2022,"38.79","42.14","38.59","41.44","5,062,500"
01/10/2022,"38.51","39.31","37.27","38.82","6,072,112"
01/07/2022,"39.37","41.15","38.68","39.20","3,688,262"
01/06/2022,"38.41","40.50","37.80","39.61","4,797,398"
01/05/2022,"41.69","42.15","38.09","38.10","4,479,543"
01/04/2022,"43.56","44.11","41.32","42.49","3,250,412"
01/03/2022,"43.81","44.13","42.06","43.87","3,582,206"
